unique_match_id,player_id,opponent_id,player_rank,opponent_rank,surface,season_year,match_date,tour_type_human,won,player_name,opponent_name
69194188_2024_1,954504,125963,65.0,6.0,Hard,2024,2024-08-10 21:30:00,Atp Tour,0,Rinderknech A.,Hurkacz H.
17759242_2024_1,225761,433587,1.0,8.0,Hard,2024,2024-08-11 00:10:00,Atp Tour,0,Sinner J.,Rublev A.
98562039_2024_1,764898,876588,46.0,576.0,Hard,2024,2024-08-11 02:45:00,Atp Tour,1,Arnaldi M.,Nishikori K.
34975813_2024_3,287673,703324,,,Clay,2024,2024-08-11 08:35:00,Atp Chall,1,Dellavedova M.,Noce G. M.
22954300_2024_3,629357,236397,,,Clay,2024,2024-08-11 08:35:00,Atp Chall,0,Rapagnetta D.,Alcala Gurri M.
95197736_2024_3,628610,974089,,,Clay,2024,2024-08-11 08:35:00,Atp Chall,0,Giannessi A.,Juarez F.
81017426_2024_3,228494,726209,,,Hard,2024,2024-08-11 08:35:00,Atp Chall,0,Lock C.,Gombos N.
49938326_2024_3,363876,587581,,,Hard,2024,2024-08-11 08:35:00,Atp Chall,0,Zhu M.,Peliwo F.
32056378_2024_3,697602,890951,,,Hard,2024,2024-08-11 08:35:00,Atp Chall,1,Jasika O.,Drzewiecki K.
96926522_2024_3,539334,625172,,,Clay,2024,2024-08-11 09:45:00,Atp Chall,0,Ricca G.,Cervantes I.
38671628_2024_3,920233,615104,,,Hard,2024,2024-08-11 10:05:00,Atp Chall,0,Lechno-Wasiutynski F.,Lokoli L.
49084166_2024_3,227660,592432,,,Hard,2024,2024-08-11 10:05:00,Atp Chall,1,Berankis R.,Pujol Navarro B.
45891024_2024_3,978400,800764,,,Hard,2024,2024-08-11 10:10:00,Atp Chall,0,Pokorny L.,Tamm K.
64881457_2024_3,653865,894620,,,Clay,2024,2024-08-11 11:00:00,Atp Chall,0,Catini N.,Ambrogi L. E.
45759838_2024_3,624813,137843,130.0,113.0,Clay,2024,2024-08-11 11:05:00,Atp Chall,1,Dellien H.,Marterer M.
32564818_2024_3,496616,804768,,,Clay,2024,2024-08-11 11:25:00,Atp Chall,1,Villanueva G.,Gerini T.
41204350_2024_3,469945,325960,,,Hard,2024,2024-08-11 11:40:00,Atp Chall,1,Glinka D.,Bojarski A.
83331015_2024_3,433115,405677,,,Hard,2024,2024-08-11 11:40:00,Atp Chall,0,Ilkel C.,Ambarzumjan E.
80345672_2024_3,609078,353037,,,Hard,2024,2024-08-11 12:00:00,Atp Chall,0,Plenkiewicz H.,Cukierman D.
55816260_2024_3,330206,779789,,,Clay,2024,2024-08-11 12:55:00,Atp Chall,1,Castagnola L.,Midon L.
69641516_2024_3,181052,980740,,,Clay,2024,2024-08-11 13:05:00,Atp Chall,1,Vulpitta G.,Obradovic D.
16903935_2024_3,779098,679476,,,Hard,2024,2024-08-11 13:05:00,Atp Chall,0,Oetzbach A.,Weightman O.
26986467_2024_3,920058,360182,,,Hard,2024,2024-08-11 13:10:00,Atp Chall,0,Mintz Z.,Bakshi A.
25126895_2024_3,899245,204156,,,Clay,2024,2024-08-11 13:40:00,Atp Chall,1,Cadenasso G.,Barton H.
33056794_2024_3,865999,518536,,,Hard,2024,2024-08-11 14:10:00,Atp Chall,1,Miletich I.,Statham J. R.
85611049_2024_3,257507,130774,,,Hard,2024,2024-08-11 14:10:00,Atp Chall,1,Nava E.,King K.
39242302_2024_3,928358,838470,,,Hard,2024,2024-08-11 14:10:00,Atp Chall,1,Bellucci M.,Gomez F. A.
47734028_2024_3,552810,563110,,,Hard,2024,2024-08-11 14:10:00,Atp Chall,0,Royer V.,Hong S. C.
78583925_2024_3,806525,148850,,,Clay,2024,2024-08-11 15:05:00,Atp Chall,1,Draxl L.,Neff A.
92869476_2024_1,403965,322647,,,Hard,2024,2024-08-11 15:10:00,Atp Tour,0,Lajovic D.,Holt B.
14024543_2024_1,677372,822150,,,Hard,2024,2024-08-11 15:10:00,Atp Tour,0,Altmaier D.,Moutet C.
44111003_2024_3,782882,852320,,,Clay,2024,2024-08-11 15:10:00,Atp Chall,0,Boulais J.,Adams H.
56455715_2024_3,663004,328256,,,Clay,2024,2024-08-11 15:10:00,Atp Chall,1,Andrade A.,Baquero D.
91103557_2024_1,345517,912183,,,Hard,2024,2024-08-11 15:15:00,Atp Tour,0,Shevchenko A.,Fucsovics M.
80870194_2024_3,992243,310957,,,Clay,2024,2024-08-11 15:15:00,Atp Chall,0,Aboian V.,Basile P.
59868808_2024_3,735755,550326,356.0,243.0,Clay,2024,2024-08-11 15:40:00,Atp Chall,0,Alves M.,Mena F.
10026226_2024_3,815558,177145,,,Clay,2024,2024-08-11 15:45:00,Atp Chall,1,Rottoli L.,Pecci A.
28928876_2024_3,281568,977820,,,Hard,2024,2024-08-11 16:00:00,Atp Chall,0,Albot R.,Jacquet K.
50528571_2024_1,690370,511933,,,Hard,2024,2024-08-11 16:10:00,Atp Tour,1,Svajda Z.,Zakharov A.
54148657_2024_3,783363,251549,221.0,298.0,Clay,2024,2024-08-11 16:20:00,Atp Chall,1,Gaubas V.,Taberner C.
24993997_2024_3,490387,211311,,,Clay,2024,2024-08-11 16:20:00,Atp Chall,1,Pavlovic L.,Buldorini P.
